idiom;meaning;level
a drop in the ocean;a very small amount that will not have much effect;B2
a home from home;a place where you feel as relaxed as you do in your own home;B2
a sight for sore eyes;someone or something that you are very pleased to see;B2
a stitch in time (saves nine);used for saying that it is better to solve a problem now rather than leave it until later;B2
a stone's throw (away/from);very close to;B2
add fuel to the fire;to make a bad situation worse;B2
all in good time;used for telling someone to wait for something and not try to make you hurry;B2
all mod cons;all modern conveniences that make life easy and comfortable;B2
as the crow flies;in a straight line used for measuring distance;B2
at a loose end;with nothing in particular to do;B2
at the drop of a hat;immediately or without any doubt about doing something;B2
be on the same wavelength;to understand the way another person thinks because you have the same ideas and opinions;B2
before your time;used for saying that something happened or existed before you were born or before you lived somewhere;B2
below/under par;below the usual or expected standard;B2
big mouth;used as a criticism of someone when they say things they should not;B2
blot on the landscape;something that makes a place look less attractive;B2
break even;if a business breaks even it neither makes a profit nor loses money;B2
bury your head in the sand;to ignore a problem or unpleasant situation and hope it will disappear;B2
change your tune;to change your opinion or attitude;B2
clean as a whistle;completely honest or legal or extremely clean;B2
come clean (about sth);to tell the truth about something that you have kept secret;B2
come rain or shine;used for saying that something always happens despite bad weather or difficult conditions;B2
commuter belt;area surrounding a large city where many people who work in that city live;B2
concrete jungle;unpleasant part of a city where there are a lot of ugly buildings close together;B2
cry over spilt milk;to waste time feeling upset about something bad that has happened and cannot be changed;B2
do sth on a whim;to do something because of a sudden feeling that you must have or do it;B2
down on your luck;having a long period of difficulty finding work and earning money;B2
draw the line (at);to say that you will definitely not allow or accept something;B2
draw the short straw;to be chosen to do something unpleasant;B2
fall short;not to reach a particular level or to fail to achieve something you were trying to do;B2
fly off the handle;to suddenly become extremely angry without a good reason;B2
follow your nose;to do what you feel is right or to go straight forward without turning;B2
for good;permanently without the possibility of change in the future;B2
get on like a house on fire;to become good friends very quickly and have a lot to talk about;B2
get sth off your chest;to talk to someone about something that has been worrying you so that you feel better;B2
get the wrong end of the stick;to understand something completely wrongly;B2
get/catch sb's drift;to understand the basic meaning of what someone is saying;B2
get/have your way;to be allowed to have or do what you want;B2
give sb your word;to promise to do something;B2
give sth a miss;to decide not to do something that you usually do;B2
go halves;to share the cost of something equally;B2
have a change of heart;to change your opinion about something or decide not to do something you planned;B2
have green fingers;to be good at growing plants;B2
have time on your hands;to have more time available than you need;B2
(hear sth) on/through the grapevine;the way information spreads quickly from one person to another through conversation;B2
in sb's bad/good books;used for saying that someone is annoyed or pleased with you;B2
in the dark (about);not knowing very much about something because others are keeping it secret;B2
in the middle of nowhere;a long way from any town or city;B2
in the nick of time;just in time to prevent something bad happening;B2
in/for donkey's years;an extremely long time;B2
keep a straight face;to remain serious and not laugh;B2
keep sb posted;to regularly give someone information about something they are interested in;B2
keep sth under your hat;to keep something secret;B2
a drop in the ocean;a very small amount that will not have much effect;B2
a home from home;a place where you feel as relaxed as you do in your own home;B2
a sight for sore eyes;someone or something that you are very pleased to see;B2
a stitch in time (saves nine);used for saying that it is better to solve a problem now rather than leave it until later;B2
a stone's throw (away/from);very close to;B2
add fuel to the fire;to make a bad situation worse;B2
all in good time;used for telling someone to wait for something and not try to make you hurry;B2
all mod cons;all modern conveniences that make life easy and comfortable;B2
as the crow flies;in a straight line used for measuring distance;B2
at a loose end;with nothing in particular to do;B2
at the drop of a hat;immediately or without any doubt about doing something;B2
be on the same wavelength;to understand the way another person thinks because you have the same ideas and opinions;B2
before your time;used for saying that something happened or existed before you were born or before you lived somewhere;B2
below/under par;below the usual or expected standard;B2
big mouth;used as a criticism of someone when they say things they should not;B2
blot on the landscape;something that makes a place look less attractive;B2
break even;if a business breaks even it neither makes a profit nor loses money;B2
bury your head in the sand;to ignore a problem or unpleasant situation and hope it will disappear;B2
change your tune;to change your opinion or attitude;B2
clean as a whistle;completely honest or legal or extremely clean;B2
come clean (about sth);to tell the truth about something that you have kept secret;B2
come rain or shine;used for saying that something always happens despite bad weather or difficult conditions;B2
commuter belt;area surrounding a large city where many people who work in that city live;B2
concrete jungle;unpleasant part of a city where there are a lot of ugly buildings close together;B2
cry over spilt milk;to waste time feeling upset about something bad that has happened and cannot be changed;B2
do sth on a whim;to do something because of a sudden feeling that you must have or do it;B2
down on your luck;having a long period of difficulty finding work and earning money;B2
draw the line (at);to say that you will definitely not allow or accept something;B2
draw the short straw;to be chosen to do something unpleasant;B2
fall short;not to reach a particular level or to fail to achieve something you were trying to do;B2
fly off the handle;to suddenly become extremely angry without a good reason;B2
follow your nose;to do what you feel is right or to go straight forward without turning;B2
for good;permanently without the possibility of change in the future;B2
get on like a house on fire;to become good friends very quickly and have a lot to talk about;B2
get sth off your chest;to talk to someone about something that has been worrying you so that you feel better;B2
get the wrong end of the stick;to understand something completely wrongly;B2
get/catch sb's drift;to understand the basic meaning of what someone is saying;B2
get/have your way;to be allowed to have or do what you want;B2
give sb your word;to promise to do something;B2
give sth a miss;to decide not to do something that you usually do;B2
go halves;to share the cost of something equally;B2
have a change of heart;to change your opinion about something or decide not to do something you planned;B2
have green fingers;to be good at growing plants;B2
have time on your hands;to have more time available than you need;B2
(hear sth) on/through the grapevine;the way information spreads quickly from one person to another through conversation;B2
in sb's bad/good books;used for saying that someone is annoyed or pleased with you;B2
in the dark (about);not knowing very much about something because others are keeping it secret;B2
in the middle of nowhere;a long way from any town or city;B2
in the nick of time;just in time to prevent something bad happening;B2
in/for donkey's years;an extremely long time;B2
keep a straight face;to remain serious and not laugh;B2
keep sb posted;to regularly give someone information about something they are interested in;B2
keep sth under your hat;to keep something secret;B2
keep your hair on;used for telling someone not to get angry or upset;B2
kick yourself;to be very annoyed because you have made a mistake or missed an opportunity;B2
know sth inside out;to be very familiar with something;B2
know what's what;to know the important facts about a situation;B2
let nature take its course;to allow something to develop without trying to influence it;B2
let off steam;to shout or do something that allows you to get rid of anger;B2
let sleeping dogs lie;to leave a person or situation alone if they might cause trouble;B2
let your hair down;to relax and enjoy yourself because you are in a comfortable environment;B2
life and soul of the party;someone who is very lively at social events;B2
like two peas in a pod;used for saying that two people look, behave or think exactly the same;B2
lose your bearings;to become confused about where you are and where other things are;B2
make a beeline for;to go towards someone or something in the quickest and most direct way;B2
never/don't look a gift horse in the mouth;if you are given something good you should not complain about it;B2
no rhyme or reason;used for emphasising that there is no reason or explanation for something;B2
off the beaten track;away from populated areas or areas popular with tourists;B2
on good terms (with);to have a good relationship with someone;B2
on the spur of the moment;if you do something on the spur of the moment you do it suddenly without planning;B2
on the street;with no place to live;B2
on the town;spending the evening enjoying yourself in bars clubs theatres etc;B2
once in a blue moon;very rarely;B2
out of the blue;happening in a way that is sudden and unexpected;B2
out of this world;extremely good or impressive;B2
over the top;more than what is considered normal or suitable;B2
pride of place;in the place that is most central or important;B2
put sth in perspective;to provide a sensible way of judging how good bad important etc something is;B2
put two and two together;to guess what is happening or what something means based on what you have seen or heard;B2
put your feet up;to sit down and relax especially with your feet raised off the ground;B2
recharge your batteries;to rest after being very busy so that you are ready to start working again;B2
red tape;documents rules or processes that cause delays;B2
ring a bell;if something rings a bell it sounds familiar but you cannot remember the exact details;B2
round the bend;crazy;B2
satellite town;a town or city that is close to and depends on a larger city;B2
sb is only human;used for saying someone has been weak in the ways most people are weak and should not be blamed;B2
see eye to eye (with sb);to agree with someone or have the same opinion as them;B2
set your heart on;to decide that you want something very much;B2
six of one (and) half a dozen of the other;used for saying that two things are equally good or bad;B2
steal the show;to receive a lot of attention because you give the best performance in a show or event;B2
stop dead in your tracks;to suddenly stop for example because you are surprised;B2
take a short cut;to follow a path that is quicker and shorter than the usual way;B2
take stock (of);to spend some time thinking about the situation you are in before you decide what to do next;B2
take the scenic route;to follow a longer path than the usual one because it is more attractive;B2
tell tales;to tell someone in authority about bad things that someone else has done because you want them to be punished;B2
the edge over;an advantage that makes someone or something more successful than others;B2
the luck of the draw;used for saying people have limited control over what life brings them;B2
the powers that be;the people who control a situation;B2
the tools of the trade;the skills and equipment that you need in order to do your job;B2
tidy sum/amount;a large sum or amount of money;B2
touch wood;used when you have said that you have had good luck in order to prevent bad luck;B2
turn over a new leaf;to change your life by starting to be a better person or stopping a bad habit;B2
up in arms about;angry and complaining about something;B2
variety is the spice of life;used for saying that different experiences and situations make life enjoyable or interesting;B2
your flesh and blood;your relative;B2
